GROUP,TEAM1,TEAM2,DATE,STADIUM
A,Brasile,Camerun,14,Giuseppe_Meazza
A,Brasile,Croazia,9,Stadio_Olimpico
A,Brasile,Messico,4,San_Nicola
A,Camerun,Croazia,4,San_Filippo
A,Camerun,Messico,9,Artemio_Franchi
A,Croazia,Messico,14,San_Paolo
B,Australia,Olanda,1,Stadio_Olimpico
B,Australia,Spagna,6,Giuseppe_Meazza
B,Australia,Cile,11,Artemio_Franchi
B,Olanda,Spagna,11,Marcantonio_Bentegodi
B,Cile,Olanda,6,San_Paolo
B,Cile,Spagna,1,San_Nicola
C,Giappone,Grecia,7,San_Paolo
C,Colombia,Giappone,2,Stadio_Olimpico
C,Colombia,Costa_Avorio,7,Giuseppe_Meazza
C,Colombia,Grecia,12,Artemio_Franchi
C,Costa_Avorio,Giappone,12,San_Nicola
C,Costa_Avorio,Grecia,2,San_Filippo
D,Italia,Uruguay,2,San_Paolo
D,Costa_Rica,Italia,12,San_Filippo
D,Costa_Rica,Inghilterra,2,San_Nicola
D,Costa_Rica,Uruguay,7,Artemio_Franchi
D,Inghilterra,Italia,7,Stadio_Olimpico
D,Inghilterra,Uruguay,12,Giuseppe_Meazza
E,Ecuador,Svizzera,3,San_Filippo
E,Ecuador,Honduras,8,Stadio_Olimpico
E,Ecuador,Francia,13,Giuseppe_Meazza
E,Honduras,Svizzera,13,San_Nicola
E,Francia,Svizzera,8,San_Paolo
E,Francia,Honduras,3,Artemio_Franchi
F,Iran,Nigeria,13,San_Filippo
F,Argentina,Iran,8,Giuseppe_Meazza
F,Argentina,Bosnia_Erzegovina,13,Artemio_Franchi
F,Argentina,Nigeria,3,Stadio_Olimpico
F,Bosnia_Erzegovina,Iran,3,San_Paolo
F,Bosnia_Erzegovina,Nigeria,8,San_Nicola
G,Germania,Stati_Uniti,1,Giuseppe_Meazza
G,Germania,Ghana,6,Artemio_Franchi
G,Germania,Portogallo,11,Stadio_Olimpico
G,Ghana,Stati_Uniti,11,San_Filippo
G,Ghana,Portogallo,1,San_Paolo
G,Portogallo,Stati_Uniti,6,San_Nicola
H,Corea_Sud,Russia,14,Stadio_Olimpico
H,Belgio,Corea_Sud,9,Marcantonio_Bentegodi
H,Belgio,Russia,4,San_Paolo
H,Algeria,Corea_Sud,4,Giuseppe_Meazza
H,Algeria,Belgio,14,Artemio_Franchi
H,Algeria,Russia,9,San_Nicola
